Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
12.75,7.322056,43.0,4.0,12.75,9.151737,5.573574,37.0,3.0,9.151736745886655,17.46038055419922,5006,0.41718411445617676,9.151737,0
21.97826,14.9309845,54.0,4.0,21.97826086956522,12.299754,7.6978297,47.0,4.0,12.2997542997543,23.81855010986328,10012,0.9976100921630859,,1
30.575758,14.8589945,65.0,12.0,30.575757575757574,17.57544,11.475622,98.0,3.0,17.575438596491228,35.56676483154297,15021,1.4328460693359375,,2
30.39394,14.65345,64.0,9.0,30.393939393939394,25.436548,15.238954,82.0,3.0,25.436548223350254,48.48638153076172,20032,1.7917759418487549,,3
43.739132,18.080057,83.0,15.0,43.73913043478261,34.176872,20.632418,166.0,5.0,34.17687074829932,65.09871673583984,25056,2.145541191101074,,4
43.291668,18.57525,87.0,14.0,43.291666666666664,35.223778,17.380327,102.0,9.0,35.22377622377623,61.611480712890625,30093,2.5402753353118896,,5
56.27778,23.23026,102.0,17.0,56.27777777777778,43.12069,21.772394,134.0,10.0,43.12068965517241,76.09446716308594,35095,2.904905080795288,,6
36.13793,15.183303,67.0,10.0,36.13793103448276,47.28972,19.733273,106.0,15.0,47.28971962616822,77.09725952148438,40155,3.2599520683288574,,7
46.0,16.66788,81.0,19.0,46.0,41.85,21.011366,127.0,10.0,41.85,72.96157836914062,45177,3.6132190227508545,,8
47.714287,24.292156,109.0,14.0,47.714285714285715,50.8,23.81554,138.0,12.0,50.8,85.5147705078125,50257,3.966959238052368,,9
48.42857,14.440588,75.0,23.0,48.42857142857143,51.234695,21.266914,136.0,12.0,51.234693877551024,84.38025665283203,55278,4.319171190261841,,10
42.125,15.273377,82.0,21.0,42.125,48.25,17.170385,122.0,12.0,48.25,76.12132263183594,60296,4.671431303024292,,11
47.809525,23.627304,106.0,10.0,47.80952380952381,48.14423,20.096601,143.0,11.0,48.14423076923077,78.99068450927734,65303,5.023589134216309,,12
47.761906,14.2525015,84.0,18.0,47.76190476190476,47.733334,18.92656,134.0,13.0,47.733333333333334,76.29044342041016,70315,5.373989105224609,,13
57.666668,25.629843,120.0,12.0,57.666666666666664,47.896225,17.336802,100.0,14.0,47.89622641509434,74.8458251953125,75392,5.731069326400757,,14
53.210526,16.542065,94.0,27.0,53.21052631578947,54.760868,17.971819,113.0,16.0,54.76086956521739,84.80376434326172,80430,6.080891132354736,,15
58.333332,21.442429,98.0,26.0,58.333333333333336,57.931034,22.100498,127.0,11.0,57.93103448275862,91.96453094482422,85470,6.432561159133911,,16
57.0,20.480343,102.0,20.0,57.0,55.42857,21.44922,134.0,16.0,55.42857142857143,88.07061767578125,90514,6.787658929824829,,17
61.235294,20.581343,121.0,38.0,61.23529411764706,56.2,19.579014,127.0,16.0,56.2,86.53453063964844,95572,7.146852016448975,,18
57.842106,18.062065,102.0,33.0,57.8421052631579,61.219513,26.575262,166.0,15.0,61.21951219512195,100.75257873535156,100592,7.5024802684783936,,19
